Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2025-10-04,Exhibition,,Merrimack,/reports/team/Merrimack/29,,Sacred Heart,/reports/team/Sacred-Heart/51,,,,,Saturday,2025-10-04_Sacred Heart_Merrimack
2025-10-04,Exhibition,,Brock,,,Vermont,/reports/team/Vermont/55,,,,,Saturday,2025-10-04_Vermont_Brock
2025-10-04,Exhibition,,Robert Morris,/reports/team/Robert-Morris/50,,Bowling Green,/reports/team/Bowling-Green/11,,,,,Saturday,2025-10-04_Bowling Green_Robert Morris
2025-10-05,Non-Conference,,RPI,/reports/team/RPI/48,,Boston University,/reports/team/Boston-University/10,,,,,Sunday,2025-10-05_Boston University_RPI
2025-10-05,Non-Conference,,St Lawrence,/reports/team/St-Lawrence/53,,Canisius,/reports/team/Canisius/13,,,,,Sunday,2025-10-05_Canisius_St. Lawrence
2025-10-05,Non-Conference,,Northern Michigan,/reports/team/Northern-Michigan/42,,Massachusetts,/reports/team/Massachusetts/27,,,,,Sunday,2025-10-05_Massachusetts_Northern Michigan
2025-10-05,Non-Conference,,Lake Superior,/reports/team/Lake-Superior/24,,Stonehill,/reports/team/Stonehill/422,,,,,Sunday,2025-10-05_Stonehill_Lake Superior
2025-10-05,Exhibition,,Western Ontario,,,Clarkson,/reports/team/Clarkson/14,,,,,Sunday,2025-10-05_Clarkson_Western Ontario
2025-10-05,Exhibition,,Union,/reports/team/Union/54,,Colgate,/reports/team/Colgate/15,,,,,Sunday,2025-10-05_Colgate_Union
2025-10-05,Exhibition,,Quinnipiac,/reports/team/Quinnipiac/47,,Providence,/reports/team/Providence/46,,,,,Sunday,2025-10-05_Providence_Quinnipiac
2025-10-05,Exhibition,,Waterloo,,,Robert Morris,/reports/team/Robert-Morris/50,,,,,Sunday,2025-10-05_Robert Morris_Waterloo
2025-10-05,Exhibition,,US Under 18,,,Western Michigan,/reports/team/Western-Michigan/57,,,,,Sunday,2025-10-05_Western Michigan_US Under-18
2025-10-05,Exhibition,,Simon Fraser,,,Sacred Heart,/reports/team/Sacred-Heart/51,,,,,Sunday,2025-10-05_Sacred Heart_Simon Fraser
2025-10-09,Non-Conference,,New Hampshire,/reports/team/New-Hampshire/38,,Michigan State,/reports/team/Michigan-State/32,,,,,Thursday,2025-10-09_Michigan State_New Hampshire
2025-10-09,Non-Conference,,Boston College,/reports/team/Boston-College/9,,Minnesota,/reports/team/Minnesota/34,,,,,Thursday,2025-10-09_Minnesota_Boston College
2025-10-09,Non-Conference,,Ferris State,/reports/team/Ferris-State/21,,Western Michigan,/reports/team/Western-Michigan/57,,,,,Thursday,2025-10-09_Western Michigan_Ferris State
