Player,Yr.,Pos.,Old Team,New Team,Stats
Caidan Gault,Jr,F,Ferris State,Northern Michigan,"15-10—25, 0"
Kyle Bettens,Jr,F,Minnesota-Duluth,Northern Michigan,"1-5—6, -9"
Girts Silkalns,So,F,Mass.-Lowell,Northern Michigan,"1-2—3, 0"
Warren Clark,So,D,St. Cloud State,Northern Michigan,"1-3—4, -2"
Zane Demsey,Jr,D,Miami,Northern Michigan,"1-2—3, -11"
David Cote,Fr,D,Union,Northern Michigan,"0-0—0, -1"
William Gramme,So,G,Wisconsin,Northern Michigan,"8 gm, 3.23, .878"
Charlie Schoen,Jr,F,Arizona State,St. Thomas,"4-5—9, +10"
Dylan Godbout,Fr,F,Ohio State,St. Thomas,"0-1—1, -2"
Alex Gaffney,Sr,F,Harvard,St. Thomas,"0-0—0, 0"
Nick Williams,So,D,Michigan Tech,St. Thomas,"0-8—8, +7"
Carsen Musser,Fr,G,Colorado College,St. Thomas,"9 gm, 3.94, .879"
Ryan Conmy,So,F,New Hampshire,Boston College,"15-18—33, -1"
Sacha Boisvert,Fr,F,North Dakota,Boston University,"18-14—32, -4"
Owen McLaughlin,Jr,F,North Dakota,Boston University,"5-25—30, +3"
Max Scott,So,F,Brown,Maine,"12-14—26, -6"
Matthew Wilde,So,F,RIT,UMass,"18-14—32, -7"
Mikey DeAngelo,Fr,F,Michigan State,UMass,"3-6—9, +3"
Owen Mehlenbacher,So,F,Wisconsin,UMass,"4-2—6, -2"
Jay Ahearn,Sr,F,Niagara,UMass Lowell,"19-20—39, +6"
Dominic Payne,Fr,D,Canisius,UMass Lowell,"6-8—14, +2"
Trevor Hoskin,Fr,F,Niagara,Merrimack,"12-27—39, +7"
Matthew Campbell,So,D,Michigan Tech,Merrimack,"6-6—12, +7"
Austin Oravetz,So,D,Michigan State,Merrimack,"0-3—3, +4"
Jack Cronin,Sr,F,Princeton,New Hampshire,"0-0—0, 0"
Kyle Chauvette,Jr,G,Union,New Hampshire,"35 gm, 2.80, .896"
Tyler Fukakusa,So,F,RIT,Northeastern,"9-27—36, -11"
Matthew Perkins,So,F,Minnesota-Duluth,Northeastern,"1-4—5, -7"
Austen May,Jr,D,Providence,Northeastern,"1-13—14, +7"
Dylan Finlay,Jr,D,Alaska-Anchorage,Northeastern,"4-6—10, -11"
Lawton Zacher,So,G,Brown,Northeastern,"28 gm, 2.48, .917"
Brendan Ross,Fr,F,Alaska,Providence,"3-11—14, -11"
David Sacco,So,F,Merrimack,Vermont,"9-0—9, -3"
Dylan Gratton,Sr,D,Omaha,Vermont,"2-12—14, -2"
Ben Poitras,Fr,F,Northeastern,Brown,"1-2—3, -3"
Michael Salandra,Fr,F,Quinnipiac,Brown,"0-0—0, 0"
