Clean_Player,Team,G,A,Pts,plus_minus,Sh,TOI_sec,PIM,FOW,FOL,Games_Played,FO%,TOI
Anthony Dowd,Arizona State,2,11,13,13,39,35955.0,10,0.0,1.0,37,0.0,09:59:15
Anthony Galante,Stonehill,12,9,21,-6,74,30872.0,37,20.0,14.0,30,58.82352941176471,08:34:32
Anthony Kehrer,Wisconsin,1,11,12,13,45,39953.0,14,0.0,0.0,35,,11:05:53
Anthony Lucarelli,Long Island,4,4,8,2,30,23285.0,8,180.0,144.0,27,55.55555555555556,06:28:05
Anthony Menghini,Minnesota-Duluth,12,7,19,6,107,33175.0,15,1.0,2.0,35,33.33333333333333,09:12:55
Anthony Messuri,Northeastern,0,1,1,4,1,3898.0,0,14.0,20.0,15,41.17647058823529,01:04:58
Anthony Yu,Air Force,3,4,7,-7,38,23361.0,8,0.0,1.0,29,0.0,06:29:21
Anton Castro,Wisconsin,0,0,0,0,0,0.0,0,0.0,0.0,1,,00:00:00
Anton Rubtsov,Alaska,3,1,4,0,27,13372.0,8,1.0,1.0,13,50.0,03:42:52
Antonio Fernandez,Colgate,5,9,14,-5,37,31132.0,10,0.0,0.0,31,,08:38:52
Antonio Venuto,Merrimack,8,6,14,-12,68,31011.0,8,17.0,30.0,35,36.17021276595745,08:36:51
Aram Minnetian,Boston College,2,13,15,20,43,45235.0,16,0.0,0.0,35,,12:33:55
Arlo Merritt,Bentley,8,7,15,10,59,35357.0,10,209.0,165.0,35,55.88235294117647,09:49:17
Arsenii Sergeev,Penn State,0,2,2,0,0,0.0,0,0.0,0.0,33,,00:00:00
Artem Buzoverya,Bentley,6,9,15,5,29,23274.0,4,206.0,153.0,32,57.381615598885794,06:27:54
Artem Shlaine,Arizona State,17,21,38,10,79,36026.0,16,356.0,296.0,31,54.601226993865026,10:00:26
Arthur Smith,Princeton,0,0,0,0,0,0.0,0,0.0,0.0,13,,00:00:00
Artur Turansky,Miami,0,1,1,-6,8,6868.0,0,0.0,1.0,11,0.0,01:54:28
Artyom Borshyov,Lindenwood,2,2,4,6,40,37360.0,14,0.0,0.0,32,,10:22:40
Arvils Bergmanis,Rensselaer,4,4,8,-10,52,40329.0,22,0.0,0.0,35,,11:12:09
August Falloon,Minnesota,2,3,5,0,20,11318.0,0,0.0,2.0,24,0.0,03:08:38
Austen May,Providence,1,13,14,7,61,34816.0,6,0.0,0.0,34,,09:40:16
Austin Brimmer,Long Island,7,8,15,4,50,27062.0,15,2.0,1.0,30,66.66666666666666,07:31:02
Austin Burnevik,St. Cloud State,13,15,28,-15,110,36049.0,8,0.0,2.0,35,0.0,10:00:49
Austin Jouppi,Bemidji State,2,5,7,-9,31,26452.0,12,2.0,2.0,33,50.0,07:20:52
Austin Oravetz,Michigan State,0,3,3,4,5,5979.0,15,0.0,0.0,13,,01:39:39
Austin Salani,Dartmouth,0,0,0,-1,0,500.0,2,1.0,1.0,1,50.0,00:08:20
Austin Schwartz,Air Force,12,9,21,-3,109,45888.0,6,11.0,24.0,40,31.428571428571427,12:44:48
Axel Begley,Minnesota,0,0,0,1,4,4765.0,0,0.0,0.0,15,,01:19:25
Axel Kumlin,Notre Dame,6,15,21,-5,72,53038.0,12,0.0,0.0,38,,14:43:58
Axel Mangbo,Vermont,0,1,1,0,0,0.0,0,0.0,0.0,23,,00:00:00
Aydar Suniev,Massachusetts,20,18,38,12,121,40542.0,41,0.0,3.0,35,0.0,11:15:42
Ayrton Martino,Clarkson,25,26,51,11,83,43670.0,8,2.0,4.0,39,33.33333333333333,12:07:50
Barrett Brooks,Mercyhurst,2,6,8,-15,36,21277.0,2,26.0,50.0,26,34.21052631578947,05:54:37
Barrett Hall,St. Cloud State,7,15,22,-10,67,35560.0,6,6.0,11.0,34,35.294117647058826,09:52:40
Barron Woodring,Army,11,15,26,-9,77,44341.0,12,388.0,332.0,38,53.888888888888886,12:19:01
Bayard Hall,Yale,0,4,4,-8,31,29679.0,12,0.0,0.0,27,,08:14:39
Beau Janzig,Air Force,0,5,5,-7,49,41649.0,6,0.0,1.0,40,0.0,11:34:09
Beckett Hendrickson,Minnesota,3,9,12,-1,61,27199.0,18,0.0,3.0,39,0.0,07:33:19
Ben Anderson,Alaska-Anchorage,1,2,3,-7,16,13244.0,41,13.0,23.0,21,36.11111111111111,03:40:44
Ben Bonisteel,Canisius,0,0,0,0,0,0.0,0,0.0,0.0,11,,00:00:00
Ben Charette,Harvard,0,0,0,0,0,0.0,0,0.0,0.0,16,,00:00:00
Ben Dexheimer,Wisconsin,1,16,17,-16,80,48918.0,2,0.0,0.0,35,,13:35:18
Ben Doran,Bowling Green,10,12,22,9,83,39187.0,43,282.0,263.0,36,51.74311926605505,10:53:07
Ben Ivey,Army,8,13,21,5,65,32780.0,10,131.0,177.0,37,42.532467532467535,09:06:20
Ben LeFranc,Holy Cross,1,0,1,-3,13,9724.0,2,0.0,0.0,22,,02:42:04
Ben MacDonald,Harvard,5,11,16,5,60,25421.0,18,66.0,91.0,27,42.038216560509554,07:03:41
Ben Meehan,Mass.-Lowell,3,14,17,-4,57,46334.0,29,1.0,1.0,36,50.0,12:52:14
Ben Muthersbaugh,Union,13,15,28,-3,118,36478.0,31,3.0,2.0,36,60.0,10:07:58
Ben Raymond,Colgate,9,9,18,-2,60,32391.0,21,3.0,5.0,36,37.5,08:59:51
Ben Robertson,Cornell,2,13,15,11,54,46751.0,8,0.0,0.0,36,,12:59:11
Ben Schoen,Penn State,7,13,20,-9,48,29571.0,27,108.0,109.0,37,49.76958525345622,08:12:51
Ben Strinden,North Dakota,8,8,16,5,66,30881.0,14,33.0,29.0,38,53.2258064516129,08:34:41
Ben Troumbly,Augustana,1,1,2,-3,10,7035.0,2,1.0,5.0,12,16.666666666666664,01:57:15
Ben Wozney,Bowling Green,1,5,6,1,39,42266.0,19,0.0,0.0,36,,11:44:26
Beni Halasz,Mass.-Lowell,0,0,0,0,0,0.0,0,0.0,0.0,18,,00:00:00
Benjamin Poitras,Northeastern,1,2,3,-3,25,14971.0,26,2.0,1.0,31,66.66666666666666,04:09:31
Benji Eckerle,Arizona State,3,4,7,0,30,19473.0,12,22.0,30.0,24,42.30769230769231,05:24:33
Bennett Schimek,Arizona State,15,22,37,5,94,42618.0,4,4.0,10.0,35,28.57142857142857,11:50:18
Bennett Zmolek,North Dakota,0,1,1,0,0,1248.0,0,0.0,0.0,1,,00:20:48
Billy Girard,Boston University,0,0,0,0,0,0.0,0,0.0,0.0,1,,00:00:00
Billy Norcross,Northeastern,0,1,1,-1,12,7574.0,2,3.0,4.0,22,42.857142857142854,02:06:14
Billy Renfrew,Northern Michigan,1,2,3,-10,17,27524.0,2,185.0,181.0,31,50.54644808743169,07:38:44
Blais Richartz,Michigan Tech,1,1,2,-4,16,6939.0,0,9.0,8.0,18,52.94117647058824,01:55:39
Blake Bechen,Minnesota-Duluth,5,4,9,-3,39,25978.0,12,2.0,5.0,34,28.57142857142857,07:12:58
Blake Biondi,Notre Dame,12,15,27,-12,114,41194.0,14,8.0,15.0,38,34.78260869565217,11:26:34
Blake Dangos,American Int'l,1,2,3,-7,22,35523.0,18,0.0,2.0,33,0.0,09:52:03
Blake Humphrey,Lake Superior,2,6,8,-1,45,24418.0,2,9.0,12.0,30,42.857142857142854,06:46:58
Blake Mesenburg,Miami,4,3,7,-16,40,24855.0,12,128.0,167.0,34,43.389830508474574,06:54:15
Blake Steenerson,Vermont,5,8,13,5,38,21959.0,23,2.0,1.0,32,66.66666666666666,06:05:59
Bo Cosman,Massachusetts,0,3,3,4,22,14835.0,10,11.0,4.0,30,73.33333333333333,04:07:15
Bobby Metz,Colgate,0,1,1,1,5,3487.0,0,0.0,1.0,10,0.0,00:58:07
Bodie Nobes,Maine,1,4,5,9,29,19030.0,4,0.0,0.0,21,,05:17:10
Boris Skalos,Mercyhurst,5,9,14,-19,96,38136.0,12,17.0,21.0,34,44.73684210526316,10:35:36
Boston Buckberger,Denver,9,21,30,30,71,49730.0,22,1.0,0.0,41,100.0,13:48:50
Brad McNeil,Rensselaer,2,3,5,-4,31,26505.0,2,131.0,164.0,35,44.40677966101695,07:21:45
Braden Birnie,Alaska,4,3,7,-8,43,32286.0,12,9.0,18.0,32,33.33333333333333,08:58:06
Braden Blace,Quinnipiac,1,2,3,5,14,16805.0,4,0.0,0.0,28,,04:40:05
Braden Doyle,Niagara,1,9,10,4,46,44377.0,12,0.0,0.0,37,,12:19:37
Braden Fischer,Minnesota-Duluth,2,3,5,0,14,11278.0,8,26.0,37.0,20,41.269841269841265,03:07:58
Braden Rourke,Robert Morris,2,2,4,-6,55,22980.0,36,1.0,7.0,30,12.5,06:23:00
Brady Berard,Boston College,4,1,5,-4,61,24203.0,10,52.0,49.0,35,51.48514851485149,06:43:23
Brady Cleveland,Colorado College,1,2,3,-3,31,32330.0,39,0.0,0.0,37,,08:58:50
Brady Egan,Clarkson,0,2,2,2,6,3693.0,4,0.0,3.0,9,0.0,01:01:33
Brady Hunter,Stonehill,3,5,8,-10,26,22036.0,8,5.0,4.0,26,55.55555555555556,06:07:16
Brady Parker,Clarkson,0,0,0,0,0,0.0,0,0.0,0.0,1,,00:00:00
Brady Risk,Omaha,13,12,25,6,60,30593.0,30,9.0,9.0,36,50.0,08:29:53
Brady Yakesh,Lindenwood,0,5,5,-4,14,22495.0,16,0.0,0.0,27,,06:14:55
Brady Ziemer,Augustana,0,4,4,-5,39,34518.0,16,0.0,0.0,35,,09:35:18
Braedon Ford,Penn State,1,0,1,-2,6,7446.0,15,14.0,19.0,14,42.42424242424242,02:04:06
Braiden Clark,Providence,1,2,3,4,18,11322.0,2,65.0,57.0,16,53.278688524590166,03:08:42
Braiden Dorfman,Dartmouth,7,9,16,9,48,24812.0,22,7.0,3.0,31,70.0,06:53:32
Branden Piku,Lake Superior,9,7,16,-4,71,31323.0,24,0.0,2.0,34,0.0,08:42:03
Brandon Buhr,Union,19,9,28,1,94,35994.0,25,3.0,9.0,36,25.0,09:59:54
Brandon Chabrier,Maine,0,10,10,10,59,38267.0,25,1.0,0.0,37,100.0,10:37:47
Brandon Holt,Maine,4,16,20,9,75,44028.0,12,0.0,0.0,34,,12:13:48
Brandon Lajoie,Alaska-Anchorage,1,1,2,-1,11,6318.0,0,0.0,1.0,11,0.0,01:45:18
Brandon Santa Juana,Bowling Green,0,0,0,-3,11,5858.0,2,0.0,0.0,11,,01:37:38
Brandon Svoboda,Boston University,7,2,9,-9,41,24352.0,29,138.0,139.0,33,49.81949458483754,06:45:52
Brasen Boser,Arizona State,2,5,7,5,59,38825.0,8,0.0,0.0,37,,10:47:05
Brayden Krieger,Bowling Green,0,0,0,-1,0,346.0,0,0.0,0.0,2,,00:05:46
Brayden Morrison,Miami,0,2,2,-9,11,16821.0,20,67.0,79.0,23,45.89041095890411,04:40:21
Brayden Nicholetts,Alaska,0,0,0,-1,11,10359.0,11,2.0,5.0,16,28.57142857142857,02:52:39
Breck McKinley,Bowling Green,1,6,7,4,51,37844.0,14,1.0,2.0,35,33.33333333333333,10:30:44
Brehdan Engum,Boston University,0,2,2,7,21,28299.0,8,0.0,0.0,30,,07:51:39
Brendan Clark,Brown,6,6,12,2,47,26992.0,30,18.0,17.0,31,51.42857142857142,07:29:52
Brendan Dumas,Sacred Heart,0,0,0,-2,6,4211.0,8,1.0,0.0,8,100.0,01:10:11
Brendan Fitzgerald,New Hampshire,1,2,3,3,34,23577.0,24,0.0,0.0,33,,06:32:57
Brendan Gibbons,Air Force,9,9,18,-14,95,41159.0,15,7.0,2.0,39,77.77777777777779,11:25:59
Brendan Gorman,Princeton,12,14,26,-7,64,32038.0,12,285.0,341.0,30,45.52715654952076,08:53:58
Brendan Lamb,Mercyhurst,2,8,10,-19,41,31752.0,4,187.0,253.0,33,42.5,08:49:12
Brendan Miles,Union,0,7,7,0,26,23947.0,10,0.0,0.0,29,,06:39:07
Brendan Poshak,Northern Michigan,1,1,2,-9,24,19851.0,4,3.0,3.0,25,50.0,05:30:51
Brendan Ross,Alaska,3,11,14,-11,52,28169.0,10,23.0,28.0,31,45.09803921568628,07:49:29
Brendan Wang,Princeton,1,1,2,0,18,17432.0,2,0.0,0.0,25,,04:50:32
Brenden Olson,Minnesota State,1,3,4,5,34,26129.0,8,0.0,0.0,37,,07:15:29
Brennan Ali,Notre Dame,7,12,19,-1,59,36859.0,18,1.0,2.0,38,33.33333333333333,10:14:19
Brennan Nelson,Long Island,0,3,3,-1,6,8987.0,26,56.0,52.0,14,51.85185185185185,02:29:47
Brent Johnson,Ohio State,5,8,13,-6,51,42270.0,4,0.0,2.0,38,0.0,11:44:30
Brent Keefer,Army,7,12,19,-5,66,36863.0,29,56.0,67.0,36,45.52845528455284,10:14:23
Bret Link,Colorado College,7,14,21,5,88,40879.0,24,15.0,27.0,37,35.714285714285715,11:21:19
Brett Bamber,American Int'l,6,12,18,-19,90,47410.0,14,1.0,1.0,35,50.0,13:10:10
Brett Bliss,Brown,1,4,5,3,51,34249.0,10,0.0,0.0,31,,09:30:49
Brett Chorske,Colgate,15,19,34,-4,85,42112.0,23,318.0,275.0,36,53.62563237774031,11:41:52
Brett Meerman,Augustana,7,16,23,0,93,35052.0,2,1.0,2.0,35,33.33333333333333,09:44:12
Brett Merner,Colgate,3,6,9,8,25,33935.0,0,0.0,2.0,35,0.0,09:25:35
Brett Miller,Miami,0,0,0,0,0,0.0,0,0.0,0.0,7,,00:00:00
Brett Moravec,Minnesota State,5,2,7,3,38,33793.0,16,111.0,120.0,37,48.05194805194805,09:23:13
Brett Pfoh,Bowling Green,5,13,18,6,70,27312.0,16,7.0,9.0,32,43.75,07:35:12
Brett Roloson,Niagara,1,7,8,1,12,13419.0,0,47.0,58.0,26,44.761904761904766,03:43:39
Brett Rylance,American Int'l,3,10,13,-1,79,31896.0,12,262.0,264.0,35,49.80988593155893,08:51:36
Brian Carrabes,Minnesota State,10,10,20,12,92,35028.0,8,2.0,5.0,39,28.57142857142857,09:43:48
Brian Kramer,Western Michigan,2,15,17,28,70,54970.0,16,0.0,1.0,42,0.0,15:16:10
Brian Nicholas,Brown,11,14,25,-4,70,32096.0,10,85.0,118.0,28,41.87192118226601,08:54:56
Brian Silver,Miami,0,0,0,0,0,342.0,15,0.0,0.0,1,,00:05:42
Briggs Gammill,Yale,3,4,7,-9,63,31727.0,18,9.0,13.0,30,40.909090909090914,08:48:47
Brock Bremer,Omaha,4,8,12,-3,72,35881.0,20,2.0,7.0,36,22.22222222222222,09:58:01
Brodie Ziemer,Minnesota,12,11,23,6,89,35658.0,21,3.0,7.0,38,30.0,09:54:18
Brody Gagno,Holy Cross,1,7,8,15,16,46009.0,40,0.0,0.0,39,,12:46:49
Brody Lamb,Minnesota,17,9,26,1,83,39555.0,12,16.0,22.0,39,42.10526315789473,10:59:15
Brody Maguire,Rensselaer,0,1,1,-3,6,6257.0,8,0.0,0.0,13,,01:44:17
Brody Mortensen,Lindenwood,3,2,5,-5,24,16322.0,10,1.0,1.0,24,50.0,04:32:02
Brody Waters,Bowling Green,16,6,22,5,100,35013.0,20,3.0,1.0,36,75.0,09:43:33
Broten Sabo,Alaska,8,13,21,-4,55,47083.0,31,0.0,0.0,32,,13:04:43
Bruno Bruveris,Miami,0,1,1,0,0,0.0,0,0.0,0.0,19,,00:00:00
Bryan Huggins,Lake Superior,1,4,5,-1,26,30301.0,12,0.0,0.0,32,,08:25:01
Bryant Marks,Alaska-Anchorage,0,0,0,0,0,0.0,0,0.0,0.0,3,,00:00:00
Bryce Monrean,Alaska,0,0,0,0,2,2351.0,6,12.0,18.0,4,40.0,00:39:11
CJ Foley,Dartmouth,11,19,30,16,65,48024.0,10,0.0,0.0,33,,13:20:24
Cade Ahrenholz,Alaska,3,1,4,-3,19,13760.0,41,2.0,6.0,24,25.0,03:49:20
Cade Alami,Minnesota State,0,0,0,-1,1,2939.0,4,0.0,0.0,6,,00:48:59
Cade Christenson,Penn State,2,7,9,23,45,50170.0,10,0.0,1.0,39,0.0,13:56:10
Cade Littler,North Dakota,7,2,9,9,30,16995.0,21,46.0,55.0,33,45.54455445544555,04:43:15
Cade Mason,Long Island,1,13,14,-1,60,32908.0,6,0.0,0.0,29,,09:08:28
Caden Brown,Ohio State,1,1,2,2,2,1382.0,0,9.0,10.0,3,47.368421052631575,00:23:02
Caden Cranston,Merrimack,7,10,17,-13,48,39426.0,2,10.0,14.0,35,41.66666666666667,10:57:06
Caden Lewandowski,Clarkson,0,0,0,-1,0,1088.0,0,0.0,0.0,2,,00:18:08
Caden Villegas,Union,7,22,29,6,66,32361.0,16,7.0,5.0,36,58.333333333333336,08:59:21
Caelan Fitzpatrick,Merrimack,6,9,15,0,54,36616.0,16,260.0,272.0,35,48.87218045112782,10:10:16
Caelum Dick,Alaska,1,7,8,4,26,20012.0,10,0.0,0.0,25,,05:33:32
Caiden Gault,Ferris State,15,10,25,0,93,30808.0,10,7.0,8.0,36,46.666666666666664,08:33:28
Caige Sterzer,St. Thomas,6,8,14,1,36,36341.0,33,66.0,70.0,38,48.529411764705884,10:05:41
Cal Mell,Union,0,1,1,-2,5,16839.0,6,0.0,0.0,24,,04:40:39
Cal Thomas,Minnesota,1,8,9,11,27,28451.0,8,0.0,0.0,27,,07:54:11
Cale Ashcroft,Denver,4,8,12,8,45,38254.0,8,0.0,0.0,44,,10:37:34
Caleb MacDonald,North Dakota,3,7,10,7,51,43437.0,42,0.0,0.0,35,,12:03:57
Caleb Price,Mercyhurst,0,7,7,-19,30,26038.0,0,0.0,0.0,24,,07:13:58
Callum Arnott,Minnesota-Duluth,6,4,10,-16,60,24620.0,2,119.0,166.0,36,41.75438596491228,06:50:20
Callum Gau,Augustana,1,1,2,-6,23,14448.0,19,89.0,99.0,23,47.340425531914896,04:00:48
Callum Tung,Connecticut,0,0,0,0,0,0.0,0,0.0,0.0,17,,00:00:00
Cam Dunn,Massachusetts,0,0,0,0,4,1811.0,0,1.0,0.0,6,100.0,00:30:11
Cam Gendron,Providence,0,0,0,0,3,4374.0,0,26.0,31.0,7,45.614035087719294,01:12:54
Cam Johnson,Harvard,5,4,9,-13,43,26693.0,2,51.0,44.0,31,53.68421052631579,07:24:53
Cam Knuble,Western Michigan,5,10,15,15,36,22990.0,4,133.0,163.0,41,44.932432432432435,06:23:10
Cam Kungle,Merrimack,0,1,1,-4,18,31451.0,12,0.0,0.0,32,,08:44:11
Cam Lund,Northeastern,18,22,40,1,174,50635.0,14,80.0,105.0,37,43.24324324324324,14:03:55
Cam MacDonald,Dartmouth,6,10,16,1,40,32956.0,10,1.0,3.0,33,25.0,09:09:16
Cam Mannion,Stonehill,0,1,1,-3,9,14732.0,2,0.0,0.0,18,,04:05:32
Cam Mitchell,Omaha,8,12,20,7,39,31743.0,10,236.0,265.0,33,47.1057884231537,08:49:03
Cam O'Neill,Massachusetts,2,1,3,1,32,18399.0,6,1.0,3.0,27,25.0,05:06:39
Cameron Berg,North Dakota,12,10,22,-2,66,29626.0,16,211.0,222.0,26,48.72979214780601,08:13:46
Cameron Garvey,Robert Morris,7,15,22,12,89,38773.0,6,327.0,343.0,34,48.80597014925373,10:46:13
Cameron Gaudette,Stonehill,1,3,4,-8,18,35219.0,21,0.0,0.0,31,,09:46:59
Cameron Korpi,Michigan,0,0,0,0,0,0.0,2,0.0,0.0,18,,00:00:00
Cameron Ricotta,Mercyhurst,0,0,0,-4,1,1283.0,0,0.0,1.0,2,0.0,00:21:23
Cameron Rowe,Western Michigan,0,1,1,0,0,0.0,0,0.0,0.0,17,,00:00:00
Cameron Whitehead,Northeastern,0,1,1,0,0,0.0,0,0.0,0.0,35,,00:00:00
Campbell Cichosz,Minnesota State,1,7,8,22,51,46909.0,8,2.0,2.0,37,50.0,13:01:49
Carl Fish,Providence,0,0,0,-3,5,4608.0,0,0.0,0.0,10,,01:16:48
Carsen Musser,Colorado College,0,0,0,0,0,0.0,0,0.0,0.0,9,,00:00:00
Carson Buydens,Princeton,1,3,4,-5,32,29961.0,24,150.0,158.0,29,48.701298701298704,08:19:21
Carson Dorfman,Rensselaer,0,0,0,0,0,0.0,0,0.0,0.0,1,,00:00:00
Carson Dyck,Penn State,1,2,3,-1,13,11703.0,0,29.0,26.0,28,52.72727272727272,03:15:03
Carson Peters,St. Thomas,0,2,2,5,11,15759.0,6,0.0,0.0,23,,04:22:39
Carson Reed,Alaska,1,1,2,-8,33,36369.0,10,0.0,0.0,31,,10:06:09
Carter Batchelder,Lake Superior,3,4,7,-8,40,24287.0,10,155.0,161.0,26,49.050632911392405,06:44:47
Carter Clafton,Air Force,0,0,0,0,0,0.0,0,0.0,0.0,3,,00:00:00
Carter King,Denver,21,22,43,17,116,53463.0,16,539.0,440.0,44,55.0561797752809,14:51:03
Carter Korpi,Union,6,2,8,7,29,15882.0,8,0.0,2.0,18,0.0,04:24:42
Carter Loney,Minnesota-Duluth,3,5,8,-10,42,29870.0,40,45.0,70.0,33,39.130434782608695,08:17:50
Carter McPhail,Mercyhurst,0,0,0,0,0,0.0,4,0.0,0.0,22,,00:00:00
Carter Patterson,Canisius,1,4,5,-1,28,31803.0,31,0.0,0.0,28,,08:50:03
Carter Randklev,Bemidji State,4,2,6,3,27,13591.0,6,0.0,2.0,18,0.0,03:46:31
Carter Rapalje,Long Island,14,11,25,-5,105,33522.0,2,3.0,6.0,32,33.33333333333333,09:18:42
Carter Rose,Clarkson,0,2,2,3,20,17609.0,10,0.0,1.0,25,0.0,04:53:29
Carter Schade,Penn State,0,9,9,-1,55,39131.0,26,0.0,0.0,35,,10:52:11
Carter Slaggert,Notre Dame,4,6,10,-7,38,29345.0,16,44.0,70.0,38,38.59649122807017,08:09:05
Carter Theissen,Augustana,0,0,0,-3,3,3211.0,0,0.0,0.0,6,,00:53:31
Carter Wilkie,North Dakota,9,9,18,0,94,40331.0,42,273.0,240.0,38,53.216374269005854,11:12:11
Casey Aman,Penn State,1,6,7,-1,45,37604.0,10,0.0,0.0,36,,10:26:44
Casey McDonald,American Int'l,3,4,7,-2,39,22854.0,25,10.0,20.0,27,33.33333333333333,06:20:54
Casey Severo,Harvard,16,12,28,10,63,35304.0,4,337.0,338.0,33,49.925925925925924,09:48:24
Casper Nassen,Miami,6,4,10,-22,52,32470.0,10,1.0,2.0,34,33.33333333333333,09:01:10
Casy Laylin,St. Thomas,4,7,11,-2,55,28814.0,8,2.0,3.0,38,40.0,08:00:14
Cayden Casey,St. Lawrence,1,3,4,6,23,10220.0,17,43.0,82.0,13,34.4,02:50:20
Chad Muller,Long Island,1,0,1,-1,9,4606.0,12,0.0,0.0,10,,01:16:46
Charles Banquier,Stonehill,1,4,5,-7,26,33618.0,26,0.0,0.0,29,,09:20:18
Charles Tardif,Sacred Heart,2,9,11,5,24,21185.0,14,172.0,140.0,35,55.12820512820513,05:53:05
Charlie Cerrato,Penn State,15,27,42,16,94,37990.0,58,388.0,290.0,38,57.227138643067846,10:33:10
Charlie Gollob,Brown,4,5,9,-2,34,24746.0,29,10.0,11.0,27,47.61904761904761,06:52:26
Charlie Kinsman,Vermont,1,1,2,-4,16,16521.0,2,0.0,0.0,26,,04:35:21
Charlie Leddy,Quinnipiac,1,10,11,17,41,38535.0,12,0.0,0.0,37,,10:42:15
Charlie Lurie,Omaha,4,6,10,-7,45,13241.0,28,1.0,2.0,20,33.33333333333333,03:40:41
Charlie Major,Cornell,5,13,18,7,60,26487.0,6,104.0,100.0,28,50.98039215686274,07:21:27
Charlie Russell,Maine,7,19,26,11,66,34268.0,24,18.0,19.0,35,48.64864864864865,09:31:08
Charlie Schoen,Arizona State,4,5,9,10,34,14019.0,4,0.0,2.0,18,0.0,03:53:39
Charlie Stramel,Michigan State,9,18,27,13,85,43184.0,26,381.0,356.0,37,51.69606512890095,11:59:44
Charlie Strobel,Colorado College,0,1,1,3,9,3473.0,6,0.0,0.0,6,,00:57:53
Chase Cheslock,St. Thomas,1,13,14,16,55,51072.0,22,0.0,0.0,38,,14:11:12
Chase Clark,American Int'l,0,1,1,0,0,0.0,5,0.0,0.0,25,,00:00:00
Chase Dafoe,Alaska,11,6,17,-2,64,33935.0,39,259.0,223.0,32,53.7344398340249,09:25:35
Chase Davis,Bentley,3,4,7,0,34,17550.0,4,102.0,87.0,25,53.96825396825397,04:52:30
Chase Foley,St. Thomas,3,19,22,13,65,53969.0,18,0.0,0.0,37,,14:59:29
Chase LaPinta,Omaha,3,1,4,-4,29,12692.0,4,2.0,3.0,19,40.0,03:31:32
Chase McLane,Colorado College,5,5,10,1,35,21428.0,26,32.0,24.0,33,57.14285714285714,05:57:08
Chase Pietila,Michigan Tech,7,15,22,1,68,57093.0,52,0.0,0.0,36,,15:51:33
Chase Ramsay,Quinnipiac,0,0,0,0,0,472.0,0,1.0,0.0,3,100.0,00:07:52
Chase Yoder,Providence,5,5,10,5,92,38647.0,18,366.0,251.0,37,59.3192868719611,10:44:07
Chris Able,Ohio State,0,9,9,10,14,31163.0,6,0.0,0.0,32,,08:39:23
Chris Delaney,Mass.-Lowell,9,9,18,-12,59,35753.0,16,3.0,3.0,35,50.0,09:55:53
Chris Hedden,Air Force,11,15,26,-16,148,59795.0,52,1.0,0.0,39,100.0,16:36:35
Chris Pappas,Long Island,4,13,17,3,36,24457.0,8,2.0,12.0,21,14.285714285714285,06:47:37
Chris Pelosi,Quinnipiac,13,11,24,12,86,41867.0,10,240.0,225.0,38,51.61290322580645,11:37:47
Chris Romaine,Ohio State,0,0,0,2,8,7129.0,4,0.0,0.0,9,,01:58:49
Christian Catalano,RIT,7,16,23,-10,121,36124.0,73,2.0,5.0,33,28.57142857142857,10:02:04
Christian Fitzgerald,Wisconsin,6,11,17,-11,79,36083.0,24,191.0,218.0,37,46.69926650366748,10:01:23
Christian Humphreys,Michigan,0,1,1,-2,8,5506.0,0,14.0,15.0,10,48.275862068965516,01:31:46
Christian Jimenez,Harvard,0,0,0,-1,1,1108.0,0,0.0,0.0,4,,00:18:28
Christian Kocsis,Mercyhurst,0,2,2,-20,15,17964.0,10,2.0,4.0,25,33.33333333333333,04:59:24
Christian MacDougall,Canisius,0,0,0,1,1,520.0,17,0.0,0.0,1,,00:08:40
Christian Manz,Augustana,0,0,0,0,0,0.0,0,0.0,0.0,5,,00:00:00
Christian Stoever,Bowling Green,0,0,0,0,0,0.0,0,0.0,0.0,18,,00:00:00
Christophe Fillion,Miami,4,6,10,-25,52,33593.0,16,38.0,45.0,34,45.78313253012048,09:19:53
Christopher Lie,Ferris State,1,3,4,-6,10,15897.0,6,0.0,0.0,20,,04:24:57
Clayton Cosentino,Air Force,9,20,29,-11,104,49689.0,23,547.0,432.0,40,55.87334014300307,13:48:09
Clint Levens,Providence,3,3,6,2,25,11978.0,18,0.0,4.0,22,0.0,03:19:38
Cody Croal,North Dakota,1,5,6,2,25,13894.0,12,1.0,4.0,22,20.0,03:51:34
Cody Laskosky,Wisconsin,7,4,11,6,42,24564.0,4,1.0,3.0,27,25.0,06:49:24
Cody Monds,Robert Morris,3,5,8,-7,33,25435.0,2,2.0,4.0,33,33.33333333333333,07:03:55
Cody Schiavon,Canisius,2,0,2,-5,33,36536.0,24,0.0,0.0,34,,10:08:56
Colby Ambrosio,Miami,7,13,20,-32,65,39504.0,45,46.0,52.0,34,46.93877551020408,10:58:24
Colby Browne,Northern Michigan,0,1,1,-6,24,13897.0,6,2.0,6.0,19,25.0,03:51:37
Colby Enns,Merrimack,0,4,4,-7,28,25222.0,10,0.0,0.0,30,,07:00:22
Colby MacArthur,Union,7,22,29,11,50,39535.0,18,198.0,201.0,36,49.62406015037594,10:58:55
Cole Burtch,Ferris State,7,19,26,0,67,34245.0,34,194.0,238.0,35,44.907407407407405,09:30:45
Cole Crusberg-Roseen,Western Michigan,3,9,12,25,60,51299.0,10,0.0,0.0,42,,14:14:59
