Clean_Player,Team,G,A,Pts,plus_minus,Sh,TOI_sec,PIM,FOW,FOL,Games_Played,FO%,TOI
Tyler Fukakusa,RIT,9,27,36,-11,63,41864.0,18,420.0,327.0,35,56.22489959839358,11:37:44
Tyler Ghirardosi,Sacred Heart,8,11,19,4,50,32800.0,12,1.0,2.0,32,33.33333333333333,09:06:40
Tyler Haskins,Minnesota State,0,0,0,0,2,3759.0,0,0.0,0.0,7,,01:02:39
Tyler Hennen,Augustana,6,7,13,11,40,21410.0,21,1.0,4.0,28,20.0,05:56:50
Tyler Hotson,Rensselaer,6,16,22,3,60,36881.0,47,5.0,7.0,35,41.66666666666667,10:14:41
Tyler Kopff,Brown,9,19,28,1,114,45168.0,12,94.0,100.0,32,48.45360824742268,12:32:48
Tyler Krivtsov,Alaska-Anchorage,0,0,0,0,0,0.0,0,0.0,0.0,18,,00:00:00
Tyler Loughman,Lindenwood,4,6,10,6,26,20305.0,4,2.0,3.0,28,40.0,05:38:25
Tyler Mahan,RIT,3,2,5,-4,35,31524.0,15,3.0,10.0,35,23.076923076923077,08:45:24
Tyler Miller,Michigan Tech,0,0,0,0,0,62.0,0,0.0,0.0,1,,00:01:02
Tyler Muszelik,Connecticut,0,2,2,0,1,0.0,0,0.0,0.0,23,,00:00:00
Tyler Nasca,Mercyhurst,1,3,4,-9,24,27115.0,4,0.0,0.0,31,,07:31:55
Tyler Paquette,Penn State,3,5,8,-11,35,27267.0,12,2.0,5.0,38,28.57142857142857,07:34:27
Tyler Procious,American Int'l,1,5,6,-8,41,32347.0,8,0.0,0.0,32,,08:59:07
Tyler Rollwagen,Omaha,3,12,15,-15,52,35962.0,26,115.0,131.0,36,46.7479674796748,09:59:22
Tyler Rubin,Princeton,2,3,5,0,26,19210.0,12,0.0,0.0,17,,05:20:10
Tyler Schleppe,Ferris State,9,9,18,-1,64,30099.0,8,251.0,232.0,29,51.96687370600414,08:21:39
Tyler Shea,Brown,0,0,0,0,0,0.0,0,0.0,0.0,6,,00:00:00
Tyler Wallace,Niagara,14,12,26,5,112,46051.0,12,478.0,396.0,37,54.69107551487414,12:47:31
Tyler Waram,Alaska,0,0,0,0,1,559.0,0,0.0,0.0,1,,00:09:19
Tyler Young,Merrimack,6,4,10,-4,55,24010.0,40,1.0,5.0,29,16.666666666666664,06:40:10
Tynan Ewart,Northern Michigan,1,10,11,-23,39,50393.0,4,0.0,0.0,34,,13:59:53
Tyson Dyck,Wisconsin,3,10,13,3,77,29258.0,10,37.0,45.0,37,45.1219512195122,08:07:38
Tyson Gross,St. Cloud State,9,16,25,-5,81,39189.0,37,337.0,281.0,36,54.53074433656958,10:53:09
