Old Team,Player,Yr.,Status
Massachusetts,Dans Locmelis,So,Signed with Boston (NHL)
Providence,Trevor Connelly,Fr,Signed with Vegas (NHL)
Connecticut,Callum Tung,Fr,Signed with NY Rangers (NHL) as free agent
Boston College,Gabe Perreault,So,Signed with NY Rangers (NHL)
St. Thomas,Cooper Gay,Jr,Signed with Colorado (NHL) as free agent
Notre Dame,Owen Say,Jr,Signed with Calgary (NHL) as free agent
Northeastern,Jack Williams,Jr,Signed with Columbus (NHL)
Northeastern,Cam Lund,Jr,Signed with San Jose (NHL)
Northeastern,Jackson Dorrington,Jr,Signed with NY Rangers (NHL)
Michigan Tech,Chase Pietila,Jr,Signed with Pittsburgh (NHL)
Michigan State,Karsen Dorwart,So,Signed with Philadelphia (NHL) as free agent
Ferris State,Andrew Noel,Jr,Signed with Cincinnati (ECHL) as free agent
Dartmouth,Cooper Flinton,Jr,Signed with Tampa (NHL) as free agent
Michigan State,Joey Larson,Jr,Signed with NY Islanders (NHL) as free agent
Ohio State,Damien Carfagna,Jr,Signed with Edmonton (NHL) as free agent
Minnesota,Matthew Wood,Jr,Signed with Nashville (NHL)
Boston College,Ryan Leonard,So,Signed with Washington (NHL)
Minnesota,Ryan Chesley,Jr,Signed with Washington (NHL)
North Dakota,Caleb MacDonald,So,Signed with Columbus (NHL) as free agent
Minnesota,Oliver Moore,So,Signed with Chicago (NHL)
Minnesota,Connor Kurth,Jr,Signed with Tampa (NHL)
Northeastern,Cameron Whitehead,So,Signed with Vegas (NHL)
Minnesota,Jimmy Snuggerud,Jr,Signed with St. Louis (NHL)
St. Cloud State,Isak Posch,So,Signed with Colorado (NHL) as free agent
Union,John Prokop,Jr,Signed with Toronto (NHL) as free agent
Dartmouth,Luke Haymes,Jr,Signed with Toronto (NHL) as free agent
Clarkson,Trey Taylor,Jr,Signed wtih Dallas (NHL) as free agent
Colorado College,Gleb Veremyev,Jr,Signed with NY Islanders (NHL)
Harvard,Aku Koskenvuo,Jr,Signed with Vancouver (NHL)
Colorado College,Noah Laba,Jr,Signed with NY Rangers (NHL)
Wisconsin,Tyson Jugnauth,So,Transferred to Michigan State
St. Lawrence,Tomáš Mazura,Sr,Signed with Czech Elite team.
